city,time,title,km,排量,变速箱,origin_price,price,rule,过户次数,kg,气缸数,最大马力,oil_num
成都,2016,别克,7.68,1.5,自动,13.77,6.3,国5,0,1255,4缸,114,92
厦门,2012,雪铁龙,15.23,1.6,手动,11.59,2.5,国4,1,1331,4缸,106,92
厦门,2015,众泰,11.73,1.5,自动,11.17,3.8,国5,0,1460,4缸,150,92
嘉兴,2015,现代ix25,5.35,1.6,自动,15.5,9,国5,0,1377,4缸,125,92
南宁,2013,大众,9.25,1.4,自动,16.05,6.78,国4,1,1305,4缸,131,95
南京,2016,自由光,7.69,2.4,自动,27.12,12.3,国5,1,1855,4缸,175,92
郑州,2010,现代,11.25,1.6,自动,13,3.5,国4,1,1279,4缸,123,92
厦门,2015,雪佛兰,1.54,1.5,手动,9.76,4.3,国5,1,1320,4缸,113,92
嘉兴,2016,日产,3.14,1.6,自动,13.34,9.5,国5,1,1224,4缸,126,92
嘉兴,2017,日产,4.1,2,自动,16.69,10.8,国5,2,1403,4缸,150,92
嘉兴,2019,日产,1.24,1.6,自动,13.45,9.8,国5,1,1228,4缸,126,92
嘉兴,2016,丰田,4.37,2,自动,21.36,17.6,国5,0,1530,4缸,151,92
嘉兴,2018,日产,1.77,1.6,自动,14.96,10.5,国5,2,1236,4缸,126,92
南昌,2016,本田,5.76,1.8,自动,14.63,8.58,国5,1,1295,4缸,136,92
南宁,2011,铃木,7.92,1.6,自动,12.9,4.2,国4,3,1225,4缸,109,92
嘉兴,2016,别克,7.56,1.5,自动,13.77,6.3,国5,2,1255,4缸,114,92
福州,2018,丰田,1.54,1.2,自动,13.11,10.8,国5,1,1300,4缸,116,92
成都,2011,大众,15.97,1.4,自动,22.12,5,国4,3,1460,4缸,131,95
福州,2017,本田XR1550V,4.72,1.5,自动,14.96,10.8,国5,1,1550,4缸,131,92
洛阳,2008,日产,8.66,1.6,自动,13.76,4.2,国4,0,1182,4缸,109,92
厦门,2016,大众,3.75,1.8,自动,23.1,12.7,国4,0,1545,4缸,160,95
福州,2014,别克,3.5,1.6,自动,16.27,4.9,国4,1,1405,4缸,121,92
南昌,2017,别克,4.91,1.5,自动,14.86,6.58,国5,1,1255,4缸,114,92
嘉兴,2020,日产,1.64,2,自动,20.39,15.8,国6,1,1463,4缸,159,92
南昌,2014,大众,6.53,1.4,自动,18.33,8.15,国5,1,1315,4缸,131,95
南宁,2012,福特,6.32,1.6,自动,15.62,5.38,国5,3,1337,4缸,125,92
南昌,2013,比亚迪,7.29,1.5,手动,9.32,2.68,国4,0,1385,4缸,154,92
嘉兴,2012,标致307,6.14,1.6,手动,10.07,3,国4,2,1247,4缸,106,92
唐山,2011,现代,7.91,2,自动,25.28,5.9,国4,1,1460,4缸,165,92
南昌,2017,本田,2.9,2,自动,19.53,13.28,国5,0,1500,4缸,155,92
嘉兴,2012,宝马1系,12.1,1.6,自动,28.11,9.8,国4,1,1475,4缸,136,95
苏州,2015,大众,5.64,1.5,自动,12.34,3.5,国4,1,1550,4缸,109,92
南昌,2018,现代,2,1.4,自动,13.55,8.28,国5,0,1317,4缸,130,92
苏州,2011,大众POLO,3.51,1.6,自动,13.45,5.08,国4,1,1135,4缸,105,92
嘉兴,2015,大众,14.16,1.4,自动,18.65,8,国5,1,1550,4缸,131,95
南昌,2018,丰田,4.89,1.2,自动,13.11,9.58,国5,0,1300,4缸,116,92
苏州,2011,别克,15.24,2.4,自动,29.84,6.58,国4,1,1550,4缸,186,92
合肥,2016,别克,5.57,1.5,自动,23.87,10.4,国5,0,1575,4缸,169,92
苏州,2017,丰田,3.5,1.5,自动,9.53,6.61,国5,0,1090,4缸,107,92
成都,2013,雪佛兰,3.81,1.4,手动,7.21,2.45,国4,0,1092,4缸,103,92
石家庄,2019,本田,1.02,1.5,自动,15.19,14.6,国6,1,1305,4缸,177,92
石家庄,2014,雪佛兰,7,1.4,自动,9.76,4.98,国4,1,1220,4缸,103,92
石家庄,2015,大众,6.79,1.6,自动,11.46,5.7,国5,1,1550,4缸,110,92
石家庄,2014,丰田,6.59,1.5,自动,9.53,5.66,国4,0,1045,4缸,107,92
石家庄,2016,斯柯达,8.31,1.4,自动,19.52,9.8,国5,3,1420,4缸,150,95
石家庄,2018,福特,1.98,1.5,自动,11.48,7.1,国5,0,1300,3缸,120,92
石家庄,2015,雪佛兰,3.79,1.6,手动,11.82,4.8,国5,1,1380,4缸,121,92
石家庄,2019,保时捷Cayenne,4.45,3,自动,99.1,94.8,国6,1,1550,6缸,340,95
石家庄,2019,大众,0.4,1.4,自动,17.36,12.8,国6,0,1550,4缸,150,95
石家庄,2016,本田,2.94,1.5,自动,15.19,12.5,国5,0,1306,4缸,177,92
石家庄,2017,宝骏510,4.4,1.5,自动,7.47,5.1,国5,0,1218,4缸,112,92
石家庄,2018,宝马1系,3.54,1.5,自动,24.51,14.3,国5,0,1380,3缸,136,95
石家庄,2014,现代,4.03,1.4,自动,10.08,5.18,国5,1,1086,4缸,107,92
石家庄,2015,大众,9.16,1.4,自动,19.96,10.68,国5,0,1365,4缸,150,95
石家庄,2013,铃木,6.91,1.4,手动,6.17,2.1,国4,1,1150,4缸,101,92
石家庄,2016,现代,3.79,1.6,自动,13,7.98,国5,1,1317,4缸,130,92
石家庄,2018,本田,4.04,1.5,自动,21.69,18.3,国5,0,1493,4缸,194,92
石家庄,2019,丰田,0.43,1.2,自动,15.17,11.9,国6,0,1370,4缸,116,92
石家庄,2018,别克GL6,4.99,1.3,自动,15.73,9.8,国5,2,1465,3缸,163,92
石家庄,2020,别克,0.25,1.3,自动,18.77,10.8,国6,1,1350,3缸,165,92
石家庄,2019,大众,0.58,1.4,自动,17.49,12.8,国6,1,1325,4缸,131,95
石家庄,2016,雪佛兰,3.24,1.5,自动,19.53,10.3,国5,1,1415,4缸,170,92
石家庄,2017,斯柯达,3.7,1.6,自动,16.49,8.1,国5,1,1250,4缸,110,92
石家庄,2017,雷克萨斯NX,2.49,2,自动,45.37,32,国5,1,1810,4缸,238,95
石家庄,2013,大众,2.5,1.6,自动,13.56,6.5,国5,2,1550,4缸,110,92
石家庄,2015,大众,7.96,1.4,自动,16.27,8.38,国5,1,1550,4缸,131,95
石家庄,2013,丰田,17.02,2,自动,21.04,9.6,国4,1,1520,4缸,147,95
石家庄,2012,别克,10.96,2.4,自动,25.61,8.38,国4,1,1705,4缸,186,92
石家庄,2018,本田,3.25,1.5,自动,20.6,17.3,国5,1,1485,4缸,194,92
石家庄,2019,东风风光S560,0.7,1.8,自动,8.13,6.68,国6,0,1440,4缸,139,92
石家庄,2016,奔驰E级,3.45,2,自动,47.41,34.88,国5,2,1770,4缸,184,95
石家庄,2018,奔驰GLA级,1.43,1.6,自动,29.29,19.8,国5,0,1490,4缸,156,95
石家庄,2020,大众,1.85,1.4,自动,18.54,14.3,国6,1,1385,4缸,150,95
石家庄,2015,大众,2.2,1.6,自动,16.37,9.2,国5,0,1330,4缸,110,92
石家庄,2019,丰田,0.5,1.8,自动,15.5,13.9,国6,1,1420,4缸,98,92
石家庄,2016,大众,6.97,1.4,自动,18.66,11.88,国5,1,1305,4缸,150,95
石家庄,2011,雷克萨斯RX经典,15.02,2.7,自动,57.86,17.8,国4,1,1890,4缸,188,92
石家庄,2021,本田XR1550V,0.01,1.5,自动,16.27,14.99,国6,1,1385,4缸,177,92
石家庄,2019,本田,3.66,2,自动,27.77,24.98,国6,2,1833,4缸,146,92
济南,2013,别克,9.21,2.4,自动,27.78,9.5,国4,1,1750,4缸,186,92
太原,2010,别克,12.48,2,自动,31.25,6.28,国4,0,1750,4缸,220,92
呼和,2012,斯柯达,7.36,1.4,手动,8.56,3,国4,1,1100,4缸,86,92
合肥,2015,大众,3.63,1.8,自动,30.05,13.98,国5,0,1710,4缸,160,95
